0.058	18.8104412432 -0.0361485788615 -1.18160454377e-05 -3.2398573565e-07 
0.059	19.066276754 -0.0376094302197 -1.20013478577e-05 -3.40640011897e-07 
0.06	19.4359609995 -0.0383680933664 -1.21402915821e-05 -3.58551054912e-07 
0.061	19.9189766592 -0.038464614582 -1.22325546709e-05 -3.77684516323e-07 
0.062	20.4872629389 -0.0381352306407 -1.22825829324e-05 -3.97904047216e-07 
0.063	21.0929731474 -0.0377115839367 -1.2300841545e-05 -4.1902382848e-07 
0.064	21.6823391629 -0.0375472151692 -1.23027275676e-05 -4.40873026385e-07 
0.065	22.2108875934 -0.0379127703461 -1.23048448739e-05 -4.63354658963e-07 
0.066	22.6551716052 -0.0389265722354 -1.23207614923e-05 -4.8648390619e-07 
0.067	23.0167302683 -0.0405277328153 -1.23596844284e-05 -5.10397635437e-07 
0.068	23.318322799 -0.042464469725 -1.24276518287e-05 -5.35322361434e-07 
0.069	23.5957804545 -0.0443928637885 -1.2528510293e-05 -5.61508277042e-07 
0.07	23.8882635532 -0.0460058770776 -1.26645062173e-05 -5.89165309883e-07 
0.071	24.2287273421 -0.0470950199558 -1.28368790573e-05 -6.18424919443e-07 
0.072	24.6339004132 -0.047597370347 -1.30454286632e-05 -6.49329528923e-07 
0.073	25.096018178 -0.04762329045 -1.32872817304e-05 -6.81844550509e-07 
0.074	25.5841001056 -0.0474229410168 -1.35557916683e-05 -7.15883929617e-07 
0.075	26.0549745202 -0.0473274025126 -1.38398407844e-05 -7.51345722132e-07 
0.076	26.4682753371 -0.0476573641873 -1.41249004456e-05 -7.88156341348e-07 
0.077	26.8017192118 -0.0486067350388 -1.43964684268e-05 -8.2630748965e-07 
0.078	27.0593725459 -0.0501814962701 -1.46432668698e-05 -8.65865958176e-07 
0.079	27.2704313428 -0.0522112508099 -1.48580656161e-05 -9.06956522941e-07 
0.08	27.482046987 -0.0544029392689 -1.5036772176e-05 -9.49732505422e-07 
0.081	27.7457370624 -0.0564340518118 -1.5177062632e-05 -9.94345127851e-07 
0.082	28.1007304619 -0.0580355394777 -1.52781346395e-05 -1.04091510408e-06 
0.083	28.5612431633 -0.0590453671886 -1.53421224623e-05 -1.08950649967e-06 
0.084	29.1125460724 -0.0594702217171 -1.53750791953e-05 -1.14011178929e-06 
0.085	29.7171008766 -0.0594991117954 -1.53865157594e-05 -1.19266188928e-06 
0.086	30.3264250273 -0.0594323687703 -1.53885452795e-05 -1.24706107761e-06 
0.087	30.8949141366 -0.0595903608081 -1.53943865108e-05 -1.30323314588e-06 
0.088	31.3907982012 -0.0602227027907 -1.54161048216e-05 -1.36116144878e-06 
0.089	31.8015175556 -0.0614304981575 -1.54627558456e-05 -1.42090873995e-06 
0.09	32.1367860089 -0.0631640265857 -1.55392402875e-05 -1.48261408934e-06 
0.091	32.42631336 -0.065244353518 -1.56464431257e-05 -1.54647292015e-06 
0.092	32.7103005486 -0.0673844982247 -1.5783270588e-05 -1.61270152135e-06 
0.093	33.0275494809 -0.0692772704069 -1.59484952603e-05 -1.68148659754e-06 
0.094	33.4034046902 -0.0707063926547 -1.61404889672e-05 -1.75293581528e-06 
0.641	358.778050604 3.48368661651 1.01333362284e-06 -0.000400216097836 
0.095	33.8420151107 -0.0716059984784 -1.63558716298e-05 -1.82705220042e-06 
0.642	359.417471909 3.51111836407 9.95958189824e-07 -0.000400754507438 
0.096	34.3261053514 -0.0720825610806 -1.65882974534e-05 -1.90374241552e-06 
0.643	359.994033523 3.53768121673 1.00840330408e-06 -0.000401287104353 
0.644	360.584796694 3.56997868905 1.05184549153e-06 -0.00040181175863 
0.097	34.8222918319 -0.0723869069953 -1.68282008136e-05 -1.98285416338e-06 
0.645	361.185903321 3.59875063059 1.11599653586e-06 -0.000402329146423 
0.098	35.2912543725 -0.0728186867328 -1.70643576022e-05 -2.0642279315e-06 
0.646	361.826706867 3.62477750162 1.18990793529e-06 -0.000402835455572 
0.099	35.7011305344 -0.0736370244526 -1.72860947995e-05 -2.14774681251e-06 
0.647	362.563205689 3.66018410918 1.25153235593e-06 -0.000403329328852 
0.648	363.383509449 3.69143685262 1.28378776984e-06 -0.000403811080392 
0.1	36.0398813211 -0.0749996766865 -1.7484537347e-05 -2.23337628202e-06 
0.649	364.243538627 3.72028918642 1.28671387301e-06 -0.000404278848038 
0.101	36.3209941869 -0.0768985906269 -1.76533489818e-05 -2.32118787649e-06 
0.65	365.103851757 3.74589389679 1.25771824273e-06 -0.000404732490432 
0.102	36.5797708534 -0.0791456952696 -1.77892802845e-05 -2.41135502325e-06 
0.651	365.910266613 3.78047041287 1.19375296725e-06 -0.000405171074862 
0.103	36.8619214713 -0.0814371493085 -1.78919359826e-05 -2.50411509593e-06 
0.652	366.581858089 3.83320981293 1.10764028954e-06 -0.000405595863554 
0.104	37.2081950598 -0.0834420876843 -1.79631251642e-05 -2.59970982388e-06 
0.653	367.142617134 3.87869135538 1.00813504255e-06 -0.000406009663676 
0.105	37.6419568741 -0.0849154189805 -1.80064316296e-05 -2.69832657619e-06 
